,USDINR,USDINR_Return,Oil_Return,Gold_Return,Inflation_Differential,Interest_Rate_Differential,FPI_Flow,Trade_Balance,FX_Reserves_Change,VIX,Broad_USD_Return,GPR
2015-04,63.4225,1.4692132132335445,19.207244662036427,0.06756928219786573,4.96936548114022,5.831300000000001,2441.0,-11412.42,9830.0,14.55,-2.0001456438931697,99.56071904500325
2015-05,63.825,0.6326275052877861,-1.8437880639879722,0.5229595699219658,4.9736023603394575,5.521599999999999,-2235.0,-10320.22,667.0,13.84,1.345735581073626,74.41008684712071
2015-06,63.6513,-0.27252141378877326,-3.0509528596311952,-1.5430301958471837,5.218885773792503,5.5069,-248.0,-10827.12,3727.0,18.23,-0.20604167791651307,85.28621266682943
2015-07,64.1362,0.7589198119585028,-19.71821778568561,-6.752559126242907,3.465589056744278,5.626900000000001,842.0,-13090.87,-1672.0,12.12,2.102064849581531,106.23084825085056
2015-08,66.4825,3.592980802571155,3.648392602453887,3.508628490045762,3.4993445805178824,5.568099999999999,-2646.0,-12399.06,-1820.0,28.43,1.6232393761944408,80.77308187177104
2015-09,65.59,-1.3515509829312045,-11.28781866121078,-1.7635855879245987,4.404146214052762,5.5032,-873.0,-10165.96,-1288.0,24.5,0.6931290176889426,96.26670481363932
2015-10,65.265,-0.49673404648915565,2.4304269926049837,2.394230969342015,4.868220241993937,5.4989,3446.0,-9692.22,3374.0,15.07,-1.0140062237495862,86.38631562263735
2015-11,66.6675,2.1261672961049527,-10.52260076207685,-7.0118615439982435,4.975838319301307,5.58,-1641.0,-10335.49,-2687.0,16.13,1.9161405114632934,146.2837247212728
2015-12,66.1537,-0.7736755320552291,-17.950105932278284,-0.3452707499420171,4.9726655332206215,5.4916,-1243.0,-11503.14,386.0,18.21,0.888775004004394,140.49793341852003
2016-01,67.7925,2.4470746877288008,-7.056522900443163,5.24230866170301,4.452874066343271,5.8621,-1300.0,-7638.93,-1209.0,20.2,1.9485493053404745,115.96384011545489
2016-02,68.42,0.9213610190920818,3.479349689457356,10.230903083108611,4.415880315724174,5.8913,-1999.0,-6573.25,-1582.0,20.55,-1.1585975428069162,101.22297576378132
2016-03,66.2475,-3.2267451244199385,9.614386055290236,-0.47907772234250245,3.9336750848121937,5.6963,2938.0,-4398.54,11055.0,13.95,-3.8572614102072578,105.2873266896894
2016-04,66.33,0.12445552322049025,19.507656505458336,4.812746914041188,4.295476983697877,5.6027000000000005,2234.0,-4844.87,2921.0,15.7,-0.9981499716382736,83.62793006896973
2016-05,67.26,1.3923422774658967,3.1898022299210904,-6.236749866137359,4.678102485243807,5.626200000000001,-276.0,-6272.9,-1664.0,14.19,3.2546317966943406,84.68827352216167
2016-06,67.525,0.3932193366555481,-0.020126798900577114,8.406267900207975,4.693071188781284,5.9803,-367.0,-8116.24,1681.0,15.63,-0.23669872585099228,88.54716021219889
2016-07,66.995,-0.7879909938107943,-15.703998135011332,2.198219578673566,5.1995978219967265,5.7139,2899.0,-7761.4,2002.0,11.87,-0.25692336520597436,112.01366116923671
2016-08,66.9637,-0.04673082161827935,10.243584731526179,-3.1811722983029256,3.99276106351123,5.529,962.0,-7706.11,235.0,13.42,0.47227274088568194,98.61115221823415
2016-09,66.615,-0.5220904112213098,4.204573523997146,0.5257475422193458,2.837320292115475,5.2226,3038.0,-9070.67,5432.0,13.29,-0.11046670855074936,103.71691958109538
2016-10,66.7787,0.24543900075908454,-1.5612478171816324,-2.9820032373968353,2.517088515120358,4.9685,-1544.0,-11134.48,-4766.0,17.06,1.5372048747727796,86.16627822383758
2016-11,68.3887,2.3823438882580206,4.394753969364418,-8.494295333398938,1.9491578392375253,3.8661,-5786.0,-13395.61,-4563.0,13.33,3.2315878086805583,83.57939580281575
2016-12,67.925,-0.6803450989934845,11.850927607387085,-2.2149395168595376,1.359193158273908,4.0706999999999995,-3990.0,-10545.99,-799.0,14.04,0.4938382033738975,101.61987716920915
2017-01,67.865,-0.08837175624831772,-1.9908229492803464,5.362956101151095,0.6566692012282438,3.9539,-512.0,-9904.82,3349.0,11.99,-1.809738325331356,104.88912440884498
2017-02,66.69,-1.7465421105713475,-0.19768179678605335,3.06795479496067,0.840431969464217,4.4811000000000005,2363.0,-9521.73,654.0,12.92,-0.1902447013123698,113.19088404519218
2017-03,64.85,-2.7978105881762083,-5.092411778915329,0.060857451310525335,1.4476926523297573,4.2926,8577.0,-10645.12,5733.0,12.37,-1.0480301474372844,98.49747651623142
2017-04,64.245,-0.9373011027008715,-2.104132716080098,1.5158305400333028,0.8088511549502853,4.6828,3513.0,-13249.19,2737.0,10.82,-0.005314017027924223,115.10228830973307
2017-05,64.5112,0.41349524028637674,-2.7834019512196218,0.05044931527464769,0.32095076791922583,4.4592,4170.0,-13841.72,7164.0,10.41,-1.3084002959709018,101.37748035307854
2017-06,64.5788,0.10473314149690438,-4.867091069603324,-2.175722044177153,-0.180150744624763,4.2073,4548.0,-12959.9,6169.0,11.18,-1.1594322487662012,126.94453862508138
2017-07,64.1875,-0.6077695864499688,9.413328477279048,2.2166933805734423,0.6394998194425572,4.1748,3732.0,-11449.81,7557.0,10.26,-1.958429157119923,101.59804805632561
2017-08,63.9063,-0.43905396158194776,-0.5141399500418586,4.013862520568878,1.3518174205825018,4.408,427.0,-12715.51,3404.0,10.59,-0.4097889589510295,137.11038946336316
2017-09,65.2762,2.120955010426684,9.395551904383614,-3.2049737193961647,1.1043851134026728,4.3294,-1533.0,-9395.57,1836.0,9.51,0.6544408478390551,118.73107655843098
2017-10,64.7462,-0.8152486578429041,6.444075827760365,-0.6506764882216132,1.5561067826361574,4.4826999999999995,2933.0,-14612.73,-384.0,10.18,1.5489834108846523,91.91498454924553
2017-11,64.4588,-0.44487515808775413,3.522054454731194,0.2796040243547182,2.705554916192243,4.6493,3118.0,-15097.53,2654.0,11.28,-1.2061153094142796,93.25364055633545
2017-12,63.8713,-0.9156138807811409,5.060877511756967,2.1561772703054594,3.084793206828107,4.920599999999999,-552.0,-14198.23,7648.0,11.04,-0.3504987421299788,84.61367348701724
2018-01,63.5863,-0.44720828728701534,3.208044378941377,3.198230243628508,2.9139152071470997,4.725,3498.0,-15673.94,12118.0,13.54,-3.0518688939340954,91.99991103141538
2018-02,65.1775,2.4716279012875653,-4.851503909439003,-2.014748357639462,2.17757241653449,4.8654,-1800.0,-12302.54,-1381.0,19.85,1.5065359794344424,65.82219927651542
2018-03,65.1775,0.0,6.602912444319475,0.54240447074827,1.9471251016602187,4.6601,410.0,-13506.65,3601.0,19.97,-0.8448704460858991,109.2456529678837
2018-04,66.6613,2.251025728951639,6.740724998527181,-0.764145838136443,2.10566273679631,4.8139,-2353.0,-13716.76,-4165.0,15.93,1.713855634827599,122.0270450592041
2018-05,67.3963,1.0965545629351148,3.1686337716480217,-1.2915746321253252,2.0887024408637433,4.9674,-4410.0,-14618.44,-7616.0,15.43,2.397577046478272,122.07622054315382
2018-06,68.47,1.580557286399209,2.3563466831059365,-3.5996062175521537,2.1166917306484123,5.0409,-2322.0,-16602.23,-6893.0,16.09,1.1269475710796506,103.35734113057454
2018-07,68.5475,0.11312424801905863,-6.756424205410827,-2.2974665507950576,1.3187515184619247,4.8132,330.0,-18633.83,-1593.0,12.83,-0.46790076890967924,109.5580127469955
2018-08,70.9962,3.509941886908585,4.1807367466693,-1.8967294382157718,1.0498383292409486,5.0916,762.0,-17922.79,-3188.0,12.86,1.3617507637697202,113.04493135021579
2018-09,72.49,2.0822266830538005,6.621626561061689,-0.858690158960318,1.3661697462621802,4.9628,-2907.0,-14953.62,256.0,12.12,-0.4102017649303846,73.96346220970153
2018-10,73.955,2.0008178810547506,-9.17261844633419,1.9853996787059458,0.8878352740876005,4.7095,-5281.0,-18003.94,-9054.0,21.23,2.3622263668908516,92.58265267649004
2018-11,69.5837,-6.092645561328425,-25.112515622068265,0.47304710268445405,0.17825281768106827,4.6191,1610.0,-17583.63,1299.0,18.07,-0.0988232728077243,79.83305384318034
2018-12,69.7712,0.26909726625445884,-8.733660290835576,4.952650331806563,0.11132171956660386,4.684799999999999,1129.0,-14492.73,1310.0,25.42,-0.7290303363525652,86.58019570381411
2019-01,71.085,1.8655026915067374,14.008514858353127,2.9774757440876876,0.4846531549539179,4.653700000000001,-787.0,-15045.9,3574.0,16.57,-1.7607118323835103,87.5074286307058
2019-02,70.745,-0.47944814397453683,6.47505684552101,-0.6019975896376373,1.0471208695598921,4.694,1697.0,-9724.3,1263.0,14.78,0.5696625057574956,98.55523300170898
2019-03,69.1488,-2.2821158266899566,3.5117430903524927,-1.6072802542581144,0.9739565058364708,4.946,7033.0,-11001.3,10722.0,13.71,0.8180175921101096,79.65598315577353
2019-04,69.5563,0.5875792200987107,6.248934009263518,-0.6871385119607609,0.9899343999586918,4.9092,2407.0,-15327.03,5609.0,13.12,0.16575174362882805,78.96416734059652
2019-05,69.6975,0.20279525354638395,-12.120578218035405,1.7033291839178233,1.25198494536507,4.9074,1638.0,-15359.54,3169.0,18.71,1.205933545880633,105.10344554531959
2019-06,69.0275,-0.9659473195814172,3.144337181883472,7.662311803212329,1.5057004124691575,4.873899999999999,1888.0,-15277.97,6580.0,15.08,-1.854884847798921,103.3317710240682
2019-07,68.8,-0.3301230982355463,-2.095430449683189,0.2996463867153132,1.3210220269085582,4.3546,-434.0,-13427.07,-2476.0,16.12,0.7932179003748985,93.06078184804609
2019-08,71.405,3.7164149965598803,-7.551356997082159,7.269333523119226,1.5387120656866315,5.0629,-850.0,-13860.17,-2277.0,18.98,2.2794704624967466,106.01592488442698
2019-09,70.8675,-0.7555958562142528,0.577511711517964,-3.2005458264324993,2.309796161866706,5.0374,936.0,-11670.33,6064.0,16.24,-0.1790739798056329,92.55197461446126
2019-10,70.9275,0.08462922328860145,-0.9090220433017215,2.7132980049982436,2.8857846514830143,4.761,2261.0,-11753.31,10989.0,13.22,-1.7392144322695202,95.20806701721683
2019-11,71.7375,1.135539485884074,3.587536201802344,-3.292907115543109,3.4474823324097903,4.691199999999999,3233.0,-12751.68,6430.0,12.62,1.0366869381371657,73.70891914367675
2019-12,71.3788,-0.5012716945553386,5.560881295277209,3.57539131466158,5.032364036104653,4.637499999999999,386.0,-12486.74,7435.0,13.78,-2.1152748172252878,72.31251805828464
2020-01,71.3525,-0.036852463752090614,-12.645690880116156,4.629290735450198,4.993355232323848,5.0942,146.0,-15296.2,10368.0,18.84,0.924905737697479,139.8703630508915
2020-02,72.1763,1.1479355312313366,-14.082853574297305,-0.2185930914357037,4.234809124386296,5.2224,1271.0,-10161.71,9070.0,40.11,1.6473137345697886,75.72699855935984
2020-03,75.5425,4.5583674621942905,-79.82438091599006,-0.5381201589419682,4.346415876164911,5.4685,-15924.0,-9980.25,-4105.0,53.54,4.058480202954939,82.76741433912709
2020-04,75.1,-0.5874853015573223,10.549243307771272,6.7016933278607915,6.910748739953232,5.4687,-1961.0,-6764.95,1103.0,34.15,-0.16589271585614185,69.76431941986084
2020-05,75.6175,0.6867179109175225,33.511453997095096,2.56220901767259,6.0694043302179645,5.1094,-973.0,-3147.2,11749.0,27.51,-1.135527556903071,69.50140085527974
2020-06,75.5087,-0.14398564748789866,15.249146575202532,2.887507906648512,5.511475277348787,5.2299,3441.0,793.17,10768.0,30.43,-0.3984087168533712,71.60573234558106
2020-07,74.8125,-0.9262898086193516,5.09287078853653,10.38512018504738,5.729903614664034,5.3098,451.0,-4826.26,24996.0,24.46,-2.740658362583659,68.53134112204275
2020-08,73.62,-1.6068255367317263,4.471279888648327,-0.4087579163724264,5.408585322861392,5.4122,6662.0,-8204.72,8058.0,26.41,-1.2444852303187481,64.93029563657699
2020-09,73.7637,0.1950012729162509,-10.051362359584903,-4.255342787779259,5.879210304921734,5.327,-157.0,-2959.31,3275.0,26.37,1.020530153202337,83.04108727773031
2020-10,74.11,0.46837352832298507,-8.907811328313597,-0.3724141868890918,6.378309309306762,5.0093,2974.0,-9153.43,15424.0,38.02,-0.6955538005462003,76.71051840628347
2020-11,74.04,-0.09449882579701807,23.934895811707648,-5.5740186236264755,5.755614140129817,5.0721,8458.0,-10192.34,15869.0,20.57,-2.537446317781633,70.364892578125
2020-12,73.065,-1.3256031778681177,8.476749413241835,6.609194407580077,3.2673468258688665,4.9518,9647.0,-15718.25,8702.0,22.75,-1.700119998776728,62.28910067773634
2021-01,72.9538,-0.1523091841556301,7.581638512332356,-2.707579419957895,2.687407950747178,4.8405,1998.0,-14491.79,4997.0,33.09,0.5681080188074006,74.98195703567997
2021-02,73.465,0.6982738242849784,16.841596729781028,-6.346061519976498,3.360364307348429,4.828099999999999,3293.0,-13115.4,-4539.0,27.95,0.7825410059274063,72.32457787649972
